discount,discountPercentage,discountedFee,fee,id,lab_id,test_name,test_type,lab_name
250,20,1000,1250,61856,1,24 HRS URINARY CREATININE CLEARANCE,Pathology,One Health Labs
160,20,640,800,61857,1,24 HRS URINE FOR CALCIUM,Pathology,One Health Labs
150,20,600,750,61858,1,24 HRS URINE FOR URIC ACID,Pathology,One Health Labs
900,30,2100,3000,39609,1,25-OH Vitamin D3,Pathology,One Health Labs
100,20,400,500,62035,1,ABSOLUTE EOSINOPHIL  COUNT  (T&D),Pathology,One Health Labs
1160,20,4640,5800,62034,1,ACE LEVEL (ANGIOTENSION CONVERTING ENZYME),Pathology,One Health Labs
110,20,440,550,61860,1,AFB Smear/ZN Stain,Pathology,One Health Labs
580,20,2320,2900,61863,1,AFP (ALPHA FETO PROTEIN),Pathology,One Health Labs
94,20,376,470,61862,1,ALKALINE PHOSPHATASE,Pathology,One Health Labs
500,20,2000,2500,62046,1,ANA Screening (Antinuclear antibodies) Elisa,Pathology,One Health Labs
600,20,2400,3000,62045,1,ANTI CCP ( Anti Cyclic Citrullinated Peptide ) Elisa,Pathology,One Health Labs
120,20,480,600,62039,1,Anti HCV Screening (ICT),Pathology,One Health Labs
120,30,280,400,39600,1,Anti-HCV,Pathology,One Health Labs
180,20,720,900,61866,1,APTT (ACTIVATED PARTIAL THROMBOPLASTIN TIME),Pathology,One Health Labs
400,20,1600,2000,61867,1,ASCITIC FLUID FOR C/S (AEROBIC),Pathology,One Health Labs
120,20,480,600,62033,1,ASCITIC FULID FOR LDH,Pathology,One Health Labs
240,20,960,1200,61868,1,ASOT LATEX,Pathology,One Health Labs
390,20,1560,1950,61870,1,BETA HCG (HUMAN CHORIONIC GONADTROPIN) CLIA,Pathology,One Health Labs
100,20,400,500,61871,1,BICARBONATE,Pathology,One Health Labs
94,20,376,470,61872,1,BILIRUBIN DIRECT,Pathology,One Health Labs
94,20,376,470,61873,1,BILIRUBIN TOTAL,Pathology,One Health Labs
600,30,1400,2000,39619,1,Biopsy for H/P (Small Specimen) with History,Pathology,One Health Labs
500,20,2000,2500,61874,1,BIOPSY LARGE,Pathology,One Health Labs
440,20,1760,2200,61875,1,BIOPSY MEDIUM,Pathology,One Health Labs
400,20,1600,2000,61876,1,BIOPSY SMALL,Pathology,One Health Labs
210,30,490,700,39591,1,"Blood C/E (Complete, CBC)",Pathology,One Health Labs
105,30,245,350,39618,1,Blood C/E e Peripheral Film/Smear,Pathology,One Health Labs
